Date,A2,gw_index,salinity,salinity_index,gw_suitability_index,sw_suitability_index,water_suitability_index
1970-10-14,14.51583632,0.0,0.0,1.0,0.0,,0.0
1970-10-15,14.51625217,0.0,0.0,1.0,0.0,,0.0
1970-10-16,14.51666801,0.0,0.0,1.0,0.0,,0.0
1970-10-17,14.51708386,0.0,0.0,1.0,0.0,,0.0
1970-10-18,14.51749971,0.0,0.0,1.0,0.0,,0.0
1970-10-19,14.51791556,0.0,0.0,1.0,0.0,,0.0
1970-10-20,14.51833141,0.0,0.0,1.0,0.0,,0.0
1970-10-21,14.51874726,0.0,0.0,1.0,0.0,,0.0
1970-10-22,14.51916311,0.0,0.0,1.0,0.0,,0.0
1970-10-23,14.51957895,0.0,0.0,1.0,0.0,,0.0
1970-10-24,14.5199948,0.0,0.0,1.0,0.0,,0.0
1970-10-25,14.52041065,0.0,0.0,1.0,0.0,,0.0
1970-10-26,14.5208265,0.0,0.0,1.0,0.0,,0.0
1970-10-27,14.52124235,0.0,0.0,1.0,0.0,,0.0
1970-10-28,14.5216582,0.0,0.0,1.0,0.0,,0.0
1970-10-29,14.52207404,0.0,0.0,1.0,0.0,,0.0
1970-10-30,14.52248989,0.0,0.0,1.0,0.0,,0.0
1970-10-31,14.52290574,0.0,0.0,1.0,0.0,,0.0
1970-11-01,14.52332159,0.0,0.0,1.0,0.0,,0.0
1970-11-02,14.52373744,0.0,0.0,1.0,0.0,,0.0
1970-11-03,14.52415329,0.0,0.0,1.0,0.0,,0.0
1970-11-04,14.52456913,0.0,0.0,1.0,0.0,,0.0
1970-11-05,14.52498498,0.0,0.0,1.0,0.0,,0.0
1970-11-06,14.52540083,0.0,0.0,1.0,0.0,,0.0
1970-11-07,14.52581668,0.0,0.0,1.0,0.0,,0.0
1970-11-08,14.52623253,0.0,0.0,1.0,0.0,,0.0
1970-11-09,14.52664838,0.0,0.0,1.0,0.0,,0.0
1970-11-10,14.52706423,0.0,0.0,1.0,0.0,0.803571428571,0.803571428571
1970-11-11,14.52748007,0.0,0.0,1.0,0.0,0.803571428571,0.803571428571
1970-11-12,14.52789592,0.0,0.0,1.0,0.0,0.803571428571,0.803571428571
1970-11-13,14.52831177,0.0,0.0,1.0,0.0,0.803571428571,0.803571428571
1970-11-14,14.52872762,0.0,0.0,1.0,0.0,0.803571428571,0.803571428571
1970-11-15,14.52914347,0.0,0.0,1.0,0.0,0.803571428571,0.803571428571
1970-11-16,14.52955932,0.0,0.0,1.0,0.0,0.803571428571,0.803571428571
1970-11-17,14.52997516,0.0,0.0,1.0,0.0,0.803571428571,0.803571428571
1970-11-18,14.53033061,0.0,0.0,1.0,0.0,0.803571428571,0.803571428571
1970-11-19,14.53068223,0.0,0.0,1.0,0.0,0.803571428571,0.803571428571
1970-11-20,14.53103384,0.0,0.0,1.0,0.0,0.803571428571,0.803571428571
1970-11-21,14.53138546,0.0,0.0,1.0,0.0,0.803571428571,0.803571428571
1970-11-22,14.53173707,0.0,0.0,1.0,0.0,0.803571428571,0.803571428571
1970-11-23,14.53208868,0.0,0.0,1.0,0.0,0.803571428571,0.803571428571
1970-11-24,14.5324403,0.0,0.0,1.0,0.0,0.803571428571,0.803571428571
1970-11-25,14.53279191,0.0,0.0,1.0,0.0,0.803571428571,0.803571428571
1970-11-26,14.53314353,0.0,0.0,1.0,0.0,0.803571428571,0.803571428571
1970-11-27,14.53349514,0.0,0.0,1.0,0.0,,0.0
1970-11-28,14.53384675,0.0,0.0,1.0,0.0,,0.0
1970-11-29,14.53419837,0.0,0.0,1.0,0.0,,0.0
1970-11-30,14.53454998,0.0,0.0,1.0,0.0,,0.0
1970-12-01,14.5349016,0.0,0.0,1.0,0.0,,0.0
1970-12-02,14.53525321,0.0,0.0,1.0,0.0,,0.0
1970-12-03,14.53560482,0.0,0.0,1.0,0.0,,0.0
1970-12-04,14.53595644,0.0,0.0,1.0,0.0,,0.0
1970-12-05,14.53630805,0.0,0.0,1.0,0.0,,0.0
1970-12-06,14.53665967,0.0,0.0,1.0,0.0,,0.0
1970-12-07,14.53701128,0.0,0.0,1.0,0.0,,0.0
1970-12-08,14.53736289,0.0,0.0,1.0,0.0,,0.0
1970-12-09,14.53771451,0.0,0.0,1.0,0.0,,0.0
1970-12-10,14.53806612,0.0,0.0,1.0,0.0,0.571428571429,0.571428571429
1970-12-11,14.53841774,0.0,0.0,1.0,0.0,0.571428571429,0.571428571429
1970-12-12,14.53876935,0.0,0.0,1.0,0.0,0.571428571429,0.571428571429
1970-12-13,14.53912096,0.0,0.0,1.0,0.0,0.571428571429,0.571428571429
1970-12-14,14.53947258,0.0,0.0,1.0,0.0,,0.0
1970-12-15,14.53982419,0.0,0.0,1.0,0.0,,0.0
1970-12-16,14.54043439,0.0,0.0,1.0,0.0,,0.0
1970-12-17,14.54130317,0.0,0.0,1.0,0.0,,0.0
1970-12-18,14.54217195,0.0,0.0,1.0,0.0,,0.0
1970-12-19,14.54304072,0.0,0.0,1.0,0.0,,0.0
1970-12-20,14.5439095,0.0,0.0,1.0,0.0,,0.0
1970-12-21,14.54477828,0.0,0.0,1.0,0.0,,0.0
