Date,A1,A2,A3,A4,A5,A6,A7,A8
1968-11-12,9.309890628,NA,NA,NA,NA,20.56205378,20.56205378,NA
1968-11-13,9.30752482,NA,NA,NA,NA,20.56219542,20.56219542,NA
1968-11-14,9.305159011,NA,NA,NA,NA,20.56233706,20.56233706,NA
1968-11-15,9.302793203,NA,NA,NA,NA,20.5624787,20.5624787,NA
1968-11-16,9.300427395,NA,NA,NA,NA,20.56262035,20.56262035,NA
1968-11-17,9.298061586,NA,NA,NA,NA,20.56276199,20.56276199,NA
1968-11-18,9.295695778,NA,NA,NA,NA,20.56290363,20.56290363,NA
1968-11-19,9.293329969,NA,NA,NA,NA,20.56304527,20.56304527,NA
1968-11-20,9.290964161,NA,NA,NA,NA,20.56318691,20.56318691,NA
1968-11-21,9.288598352,NA,NA,NA,NA,20.56332855,20.56332855,NA
1968-11-22,9.286232544,NA,NA,NA,NA,20.56347019,20.56347019,NA
1968-11-23,9.283866736,NA,NA,NA,NA,20.56361183,20.56361183,NA
1968-11-24,9.281500927,NA,NA,NA,NA,20.56375347,20.56375347,NA
1968-11-25,9.279135119,NA,NA,NA,NA,20.56389511,20.56389511,NA
1968-11-26,9.27676931,NA,NA,NA,NA,20.56403675,20.56403675,NA
1968-11-27,9.274403502,NA,NA,NA,NA,20.56417839,20.56417839,NA
1968-11-28,9.272037693,NA,NA,NA,NA,20.56432003,20.56432003,NA
1968-11-29,9.269671885,NA,NA,NA,NA,20.56446167,20.56446167,NA
1968-11-30,9.267306076,NA,NA,NA,NA,20.56460331,20.56460331,NA
1968-12-01,9.264940268,NA,NA,NA,NA,20.56474495,20.56474495,NA
1968-12-02,9.26257446,NA,NA,NA,NA,20.56488659,20.56488659,NA
1968-12-03,9.260208651,NA,NA,NA,NA,20.56502823,20.56502823,NA
1968-12-04,9.262000745,NA,NA,NA,NA,20.56516987,20.56516987,NA
1968-12-05,9.264195012,NA,NA,NA,NA,20.56531151,20.56531151,NA
1968-12-06,9.266389279,NA,NA,NA,NA,20.56545315,20.56545315,NA
1968-12-07,9.268583546,NA,NA,NA,NA,20.56559479,20.56559479,NA
1968-12-08,9.270777814,NA,NA,NA,NA,20.56573643,20.56573643,NA
1968-12-09,9.272972081,NA,NA,NA,NA,20.56587807,20.56587807,NA
1968-12-10,9.275166348,NA,NA,NA,NA,20.56601971,20.56601971,NA
1968-12-11,9.277360615,NA,NA,NA,NA,20.56616135,20.56616135,NA
1968-12-12,9.279554882,NA,NA,NA,NA,20.56630299,20.56630299,NA
1968-12-13,9.281749149,NA,NA,NA,NA,20.56644463,20.56644463,NA
1968-12-14,9.283943416,NA,NA,NA,NA,20.56658627,20.56658627,NA
1968-12-15,9.286137683,NA,NA,NA,NA,20.56672791,20.56672791,NA
1968-12-16,9.288331951,NA,NA,NA,NA,20.56686955,20.56686955,NA
1968-12-17,9.290526218,NA,NA,NA,NA,20.56701119,20.56701119,NA
1968-12-18,9.292720485,NA,NA,NA,NA,20.56715283,20.56715283,NA
1968-12-19,9.294914752,NA,NA,NA,NA,20.56729447,20.56729447,NA
1968-12-20,9.297109019,NA,NA,NA,NA,20.56743611,20.56743611,NA
1968-12-21,9.299303286,NA,NA,NA,NA,20.56757775,20.56757775,NA
1968-12-22,9.301497553,NA,NA,NA,NA,20.56771939,20.56771939,NA
1968-12-23,9.303691821,NA,NA,NA,NA,20.56786104,20.56786104,NA
1968-12-24,9.305886088,NA,NA,NA,NA,20.56800268,20.56800268,NA
1968-12-25,9.308080355,NA,NA,NA,NA,20.56814432,20.56814432,NA
1968-12-26,9.310274622,NA,NA,NA,NA,20.56828596,20.56828596,NA
1968-12-27,9.312468889,NA,NA,NA,NA,20.5684276,20.5684276,NA
1968-12-28,9.314663156,NA,NA,NA,NA,20.56856924,20.56856924,NA
1968-12-29,9.316857423,NA,NA,NA,NA,20.56871088,20.56871088,NA
1968-12-30,9.319051691,NA,NA,NA,NA,20.56885252,20.56885252,NA
1968-12-31,9.321245958,NA,NA,NA,NA,20.56899416,20.56899416,NA
1969-01-01,9.323440225,NA,NA,NA,NA,20.5691358,20.5691358,NA
1969-01-02,9.325634492,NA,NA,NA,NA,20.56927744,20.56927744,NA
1969-01-03,9.327828759,NA,NA,NA,NA,20.56941908,20.56941908,NA
1969-01-04,9.330023026,NA,NA,NA,NA,20.56956072,20.56956072,NA
1969-01-05,9.332217293,NA,NA,NA,NA,20.56970236,20.56970236,NA
1969-01-06,9.334411561,NA,NA,NA,NA,20.569844,20.569844,NA
1969-01-07,9.336605828,NA,NA,NA,NA,20.56998564,20.56998564,NA
1969-01-08,9.338800095,NA,NA,NA,NA,20.57097295,20.57097295,NA
1969-01-09,9.340994362,NA,NA,NA,NA,20.57205568,20.57205568,NA
1969-01-10,9.343188629,NA,NA,NA,NA,20.5731384,20.5731384,NA
1969-01-11,9.345382896,NA,NA,NA,NA,20.57422113,20.57422113,NA
1969-01-12,9.347577163,NA,NA,NA,NA,20.57530386,20.57530386,NA
1969-01-13,9.349771431,NA,NA,NA,NA,20.57638659,20.57638659,NA
1969-01-14,9.349147906,NA,NA,NA,NA,20.57746931,20.57746931,NA
1969-01-15,9.34819673,NA,NA,NA,NA,20.57855204,20.57855204,NA
1969-01-16,9.347245555,NA,NA,NA,NA,20.57963477,20.57963477,NA
1969-01-17,9.34629438,NA,NA,NA,NA,20.58071749,20.58071749,NA
1969-01-18,9.345343205,NA,NA,NA,NA,20.58180022,20.58180022,NA
1969-01-19,9.34439203,NA,NA,NA,NA,20.58288295,20.58288295,NA
1969-01-20,9.343440854,NA,NA,NA,NA,20.58396568,20.58396568,NA
1969-01-21,9.342489679,NA,NA,NA,NA,20.5850484,20.5850484,NA
1969-01-22,9.341538504,NA,NA,NA,NA,20.58613113,20.58613113,NA
1969-01-23,9.340587329,NA,NA,NA,NA,20.58721386,20.58721386,NA
1969-01-24,9.339636153,NA,NA,NA,NA,20.58829658,20.58829658,NA
1969-01-25,9.338684978,NA,NA,NA,NA,20.58937931,20.58937931,NA
1969-01-26,9.337733803,NA,NA,NA,NA,20.59046204,20.59046204,NA
1969-01-27,9.336782628,NA,NA,NA,NA,20.59154477,20.59154477,NA
1969-01-28,9.335831453,NA,NA,NA,NA,20.59262749,20.59262749,NA
1969-01-29,9.334880277,NA,NA,NA,NA,20.59371022,20.59371022,NA
1969-01-30,9.333929102,NA,NA,NA,NA,20.59479295,20.59479295,NA
1969-01-31,9.332977927,NA,NA,NA,NA,20.59587567,20.59587567,NA
1969-02-01,9.332026752,NA,NA,NA,NA,20.5969584,20.5969584,NA
1969-02-02,9.331075577,NA,NA,NA,NA,20.59804113,20.59804113,NA
1969-02-03,9.330124401,NA,NA,NA,NA,20.59912386,20.59912386,NA
1969-02-04,9.329173226,NA,NA,NA,NA,20.60020658,20.60020658,NA
1969-02-05,9.328222051,NA,NA,NA,NA,20.60128931,20.60128931,NA
1969-02-06,9.327270876,NA,NA,NA,NA,20.60237204,20.60237204,NA
1969-02-07,9.326319701,NA,NA,NA,NA,20.60345476,20.60345476,NA
1969-02-08,9.325368525,NA,NA,NA,NA,20.60453749,20.60453749,NA
1969-02-09,9.32441735,NA,NA,NA,NA,20.60562022,20.60562022,NA
1969-02-10,9.323466175,NA,NA,NA,NA,20.60670295,20.60670295,NA
1969-02-11,9.322515,NA,NA,NA,NA,20.60778567,20.60778567,NA
1969-02-12,9.321563825,NA,NA,NA,NA,20.6088684,20.6088684,NA
1969-02-13,9.320612649,NA,NA,NA,NA,20.60995113,20.60995113,NA
1969-02-14,9.319661474,NA,NA,NA,NA,20.61219824,20.61219824,NA
1969-02-15,9.318710299,NA,NA,NA,NA,20.6145004,20.6145004,NA
1969-02-16,9.317759124,NA,NA,NA,NA,20.61680256,20.61680256,NA
1969-02-17,9.316807948,NA,NA,NA,NA,20.61910472,20.61910472,NA
