group,start,end,duration,dry_period,timing,flood_timing,flood_duration,flood_dry_period,sw_suitability_index
722.0,1995-07-02,1995-07-08,7.0,13,7,0.5,0.25,1.0,0.475
724.0,1995-07-12,1995-09-07,58.0,4,7,0.5,0.884057971014,1.0,0.792028985507
727.0,1995-10-11,1995-10-16,6.0,14,10,1.0,0.214285714286,1.0,0.607142857143
729.0,1995-10-22,1995-11-04,13.0,6,10,1.0,0.464285714286,1.0,0.732142857143
731.0,1995-11-10,1995-11-15,6.0,6,11,1.0,0.214285714286,1.0,0.607142857143
734.0,1996-01-02,1996-01-05,4.0,45,1,0.9,0.142857142857,1.0,0.541428571429
738.0,1996-02-10,1996-02-13,4.0,22,2,0.9,0.142857142857,1.0,0.541428571429
740.0,1996-02-28,1996-03-03,5.0,15,2,0.9,0.178571428571,1.0,0.559285714286
744.0,1996-03-16,1996-03-22,7.0,5,3,0.1,0.25,1.0,0.355
746.0,1996-03-28,1996-04-18,22.0,6,3,0.1,0.785714285714,1.0,0.622857142857
750.0,1996-06-25,1996-10-31,128.0,35,6,0.1,0.376811594203,1.0,0.418405797101
752.0,1996-11-04,1996-11-08,5.0,4,11,1.0,0.178571428571,1.0,0.589285714286
754.0,1996-11-17,1996-11-22,5.0,9,11,1.0,0.178571428571,1.0,0.589285714286
758.0,1996-12-26,1996-12-28,3.0,22,12,1.0,0.107142857143,1.0,0.553571428571
762.0,1997-01-26,1997-01-31,6.0,3,1,0.9,0.214285714286,1.0,0.577142857143
766.0,1997-05-04,1997-05-09,6.0,79,5,0.1,0.214285714286,1.0,0.337142857143
768.0,1997-05-14,1997-05-28,13.0,5,5,0.1,0.464285714286,1.0,0.462142857143
770.0,1997-08-13,1997-08-17,5.0,77,8,0.5,0.178571428571,1.0,0.439285714286
774.0,1997-09-17,1997-09-21,5.0,6,9,1.0,0.178571428571,1.0,0.589285714286
778.0,1997-10-31,1997-11-03,4.0,21,10,1.0,0.142857142857,1.0,0.571428571429
780.0,1997-11-14,1997-11-17,4.0,11,11,1.0,0.142857142857,1.0,0.571428571429
789.0,1998-02-05,1998-02-11,7.0,4,2,0.9,0.25,1.0,0.595
795.0,1998-04-12,1998-04-16,5.0,28,4,0.1,0.178571428571,1.0,0.319285714286
799.0,1998-07-30,1998-08-04,6.0,35,7,0.5,0.214285714286,1.0,0.457142857143
806.0,1998-11-11,1998-11-18,8.0,36,11,1.0,0.285714285714,1.0,0.642857142857
812.0,1999-01-29,1999-02-01,4.0,43,1,0.9,0.142857142857,1.0,0.541428571429
814.0,1999-02-12,1999-02-15,4.0,11,2,0.9,0.142857142857,1.0,0.541428571429
818.0,1999-05-25,1999-05-27,3.0,65,5,0.1,0.107142857143,1.0,0.283571428571
820.0,1999-08-12,1999-08-19,8.0,77,8,0.5,0.285714285714,1.0,0.492857142857
822.0,1999-08-29,1999-09-01,4.0,10,8,0.5,0.142857142857,1.0,0.421428571429
824.0,1999-10-01,1999-10-03,3.0,30,10,1.0,0.107142857143,1.0,0.553571428571
828.0,1999-12-28,1999-12-30,3.0,50,12,1.0,0.107142857143,1.0,0.553571428571
831.0,2000-02-22,2000-02-25,3.0,26,2,0.9,0.107142857143,1.0,0.523571428571
836.0,2000-07-22,2000-07-30,9.0,76,7,0.5,0.321428571429,1.0,0.510714285714
838.0,2000-08-11,2000-08-15,5.0,12,8,0.5,0.178571428571,1.0,0.439285714286
840.0,2000-09-09,2000-09-18,10.0,25,9,1.0,0.357142857143,1.0,0.678571428571
